       Ene   Feb   Mar   Abr   May   Jun   Jul   Ago   Sep   Oct   Nov   Dic
  1   11.0  11.0  13.0   8.0  17.0  15.0  13.0  14.0  14.0  10.0  10.0   7.0
  2   12.0  10.0  15.0  11.0  18.0  15.0  12.0  12.0  12.0   9.0  12.0   8.0
  3    6.0  12.0  15.0  11.0  17.0  14.0  12.0  13.0  14.0  12.0  12.0   7.0
  4    7.0  12.0  15.0  13.0  18.0  13.0  12.0  12.0  13.0  13.0  12.0   6.0
  5    9.0  12.0  13.0  15.0  19.0  13.0  12.0  13.0  12.0  13.0  12.0   6.0
  6   11.0  13.0  13.0  16.0  18.0  14.0  11.0  13.0  13.0  13.0  11.0   7.0
  7    8.0  13.0  14.0  16.0  19.0  16.0  13.0  13.0  12.0  12.0  10.0   7.0
  8    7.0  15.0  15.0  16.0  18.0  15.0  13.0  15.0  13.0  14.0  10.0   7.0
  9   10.0  15.0  16.0  13.0  19.0  16.0  12.0  13.0  14.0  10.0   9.0   7.0
 10   11.0  13.0  15.0  11.0  17.0  15.0  12.0  13.0  14.0  15.0  10.0   8.0
 11   13.0  14.0  13.0  13.0  17.0  14.0  12.0  12.0  13.0  13.0  11.0   9.0
 12   14.0  13.0  12.0  14.0  18.0  15.0  12.0  14.0  14.0  15.0  10.0   9.0
 13   10.0  12.0  13.0  13.0  14.0  16.0  12.0  13.0  14.0  14.0  10.0  10.0
 14    8.0  14.0  15.0  14.0  17.0  16.0  12.0  13.0  14.0  13.0  11.0  11.0
 15   10.0  12.0  13.0  13.0  19.0  14.0  15.0  11.0  12.0  13.0   9.0   7.0
 16   11.0  13.0  12.0  17.0  19.0  14.0  13.0  14.0  12.0  13.0  10.0   5.0
 17    9.0  11.0  12.0  18.0  20.0  13.0  13.0  12.0  14.0  13.0  11.0   5.0
 18   15.0  12.0  11.0  19.0  16.0  12.0  12.0  13.0  14.0  13.0  11.0   5.0
 19   10.0  13.0  12.0  19.0  16.0  13.0  12.0  13.0  15.0  11.0  10.0   4.0
 20    9.0  11.0  10.0  16.0  15.0  15.0  11.0  12.0  15.0   9.0   9.0   4.0
 21   10.0  12.0   9.0  13.0  15.0  14.0  13.0  13.0  14.0  12.0  12.0   4.0
 22    7.0  11.0  11.0  14.0  15.0  14.0  12.0  12.0  15.0  12.0  12.0   4.0
 23   10.0   7.0  10.0  14.0  16.0  14.0  13.0  13.0  14.0  12.0  12.0   4.0
 24   10.0  10.0  11.0  14.0  12.0  14.0  13.0  12.0  15.0  11.0  10.0   4.0
 25    8.0  12.0  13.0  16.0  14.0  15.0  13.0  12.0  14.0  12.0  10.0   6.0
 26   10.0  13.0  12.0  17.0  14.0  13.0  14.0  12.0  12.0  12.0  10.0   7.0
 27    8.0  13.0  10.0  17.0  14.0  11.0  14.0  13.0  12.0  12.0  10.0   9.0
 28    8.0  14.0  12.0  17.0  13.0  12.0  13.0  13.0  12.0  11.0   9.0   9.0
