mu,xi,sigma,q005,q095
92.961,-0.8394,7.7908,92.317,95.069
92.961,-0.83153,7.8039,92.301,95.047
92.961,-0.82366,7.817,92.284,95.024
92.961,-0.81579,7.8301,92.267,95.001
92.961,-0.80792,7.8432,92.249,94.978
92.961,-0.80005,7.8563,92.231,94.955
92.961,-0.79217,7.8693,92.213,94.931
92.961,-0.7843,7.8823,92.194,94.907
92.961,-0.77643,7.8953,92.174,94.883
92.961,-0.76856,7.9083,92.155,94.858
92.961,-0.76069,7.9212,92.134,94.834
92.961,-0.75282,7.9341,92.113,94.809
92.961,-0.74495,7.947,92.092,94.783
92.961,-0.73708,7.9599,92.07,94.758
92.961,-0.72921,7.9728,92.047,94.732
92.961,-0.72134,7.9856,92.024,94.706
92.961,-0.71347,7.9984,92,94.68
92.961,-0.70559,8.0112,91.976,94.653
92.961,-0.69772,8.0239,91.951,94.626
92.961,-0.68985,8.0367,91.926,94.599
92.961,-0.68198,8.0494,91.899,94.572
92.961,-0.67411,8.0621,91.873,94.545
92.961,-0.66624,8.0747,91.845,94.517
92.961,-0.65837,8.0874,91.817,94.489
92.961,-0.6505,8.1,91.788,94.461
92.961,-0.64263,8.1126,91.758,94.432
92.961,-0.63476,8.1252,91.728,94.404
92.961,-0.62689,8.1377,91.697,94.375
92.961,-0.61901,8.1502,91.665,94.346
92.961,-0.61114,8.1627,91.632,94.317
92.961,-0.60327,8.1752,91.599,94.287
92.961,-0.5954,8.1877,91.564,94.258
92.961,-0.58753,8.2001,91.529,94.228
92.961,-0.57966,8.2125,91.493,94.198
92.961,-0.57179,8.2249,91.456,94.168
92.961,-0.56392,8.2373,91.418,94.138
92.961,-0.55605,8.2496,91.379,94.108
92.961,-0.54818,8.2619,91.34,94.078
92.961,-0.54031,8.2742,91.299,94.047
92.961,-0.53243,8.2865,91.257,94.017
92.961,-0.52456,8.2988,91.214,93.986
92.961,-0.51669,8.311,91.17,93.955
92.961,-0.50882,8.3232,91.125,93.925
92.961,-0.50095,8.3354,91.079,93.894
92.961,-0.49308,8.3475,91.031,93.863
92.961,-0.48521,8.3597,90.983,93.832
92.961,-0.47734,8.3718,90.933,93.802
92.961,-0.46947,8.3839,90.882,93.771
92.961,-0.4616,8.3959,90.83,93.741
92.961,-0.45373,8.408,90.776,93.71
92.961,-0.44586,8.42,90.722,93.68
92.961,-0.43798,8.432,90.665,93.65
92.961,-0.43011,8.444,90.608,93.62
92.961,-0.42224,8.4559,90.549,93.59
92.961,-0.41437,8.4678,90.488,93.561
92.961,-0.4065,8.4798,90.426,93.532
92.961,-0.39863,8.4916,90.362,93.503
92.961,-0.39076,8.5035,90.297,93.474
92.961,-0.38289,8.5153,90.23,93.446
92.961,-0.37502,8.5271,90.162,93.418
92.961,-0.36715,8.5389,90.092,93.391
92.961,-0.35928,8.5507,90.02,93.365
92.961,-0.3514,8.5624,89.946,93.338
92.961,-0.34353,8.5742,89.871,93.313
92.961,-0.33566,8.5859,89.793,93.288
92.961,-0.32779,8.5975,89.714,93.264
92.961,-0.31992,8.6092,89.632,93.24
92.961,-0.31205,8.6208,89.549,93.217
92.961,-0.30418,8.6324,89.464,93.195
92.961,-0.29631,8.644,89.376,93.174
92.961,-0.28844,8.6556,89.286,93.154
92.961,-0.28057,8.6671,89.195,93.135
92.961,-0.2727,8.6786,89.1,93.116
92.961,-0.26482,8.6901,89.004,93.099
92.961,-0.25695,8.7016,88.905,93.083
92.961,-0.24908,8.713,88.803,93.068
92.961,-0.24121,8.7244,88.699,93.054
92.961,-0.23334,8.7358,88.593,93.04
92.961,-0.22547,8.7472,88.484,93.029
92.961,-0.2176,8.7585,88.372,93.018
92.961,-0.20973,8.7699,88.257,93.008
92.961,-0.20186,8.7812,88.14,92.999
92.961,-0.19399,8.7925,88.019,92.992
92.961,-0.18612,8.8037,87.896,92.985
92.961,-0.17824,8.815,87.77,92.98
92.961,-0.17037,8.8262,87.64,92.975
92.961,-0.1625,8.8374,87.507,92.972
92.961,-0.15463,8.8485,87.371,92.969
92.961,-0.14676,8.8597,87.232,92.966
92.961,-0.13889,8.8708,87.089,92.964
92.961,-0.13102,8.8819,86.943,92.963
92.961,-0.12315,8.893,86.793,92.962
92.961,-0.11528,8.904,86.639,92.962
92.961,-0.10741,8.915,86.481,92.962
92.961,-0.099535,8.9261,86.32,92.961
92.961,-0.091665,8.937,86.154,92.961
92.961,-0.083794,8.948,85.985,92.961
92.961,-0.075923,8.9589,85.811,92.961
92.961,-0.068052,8.9698,85.633,92.961
92.961,-0.060181,8.9807,85.45,92.961
93.082,-0.8394,7.8485,92.433,95.206
93.082,-0.83153,7.8615,92.417,95.183
93.082,-0.82366,7.8745,92.4,95.16
93.082,-0.81579,7.8875,92.383,95.137
93.082,-0.80792,7.9004,92.365,95.114
93.082,-0.80005,7.9133,92.347,95.09
93.082,-0.79217,7.9262,92.328,95.066
93.082,-0.7843,7.939,92.309,95.042
93.082,-0.77643,7.9519,92.29,95.017
93.082,-0.76856,7.9647,92.27,94.993
93.082,-0.76069,7.9775,92.249,94.968
93.082,-0.75282,7.9902,92.228,94.942
93.082,-0.74495,8.003,92.206,94.917
93.082,-0.73708,8.0157,92.184,94.891
93.082,-0.72921,8.0284,92.162,94.865
93.082,-0.72134,8.0411,92.138,94.839
93.082,-0.71347,8.0537,92.114,94.812
93.082,-0.70559,8.0663,92.09,94.786
93.082,-0.69772,8.079,92.065,94.759
93.082,-0.68985,8.0915,92.039,94.731
93.082,-0.68198,8.1041,92.013,94.704
93.082,-0.67411,8.1166,91.986,94.676
93.082,-0.66624,8.1291,91.958,94.648
93.082,-0.65837,8.1416,91.93,94.62
93.082,-0.6505,8.1541,91.901,94.592
93.082,-0.64263,8.1665,91.871,94.563
93.082,-0.63476,8.179,91.841,94.534
93.082,-0.62689,8.1914,91.809,94.505
93.082,-0.61901,8.2037,91.777,94.476
93.082,-0.61114,8.2161,91.744,94.447
93.082,-0.60327,8.2284,91.711,94.417
93.082,-0.5954,8.2407,91.676,94.387
93.082,-0.58753,8.253,91.641,94.357
93.082,-0.57966,8.2653,91.604,94.327
93.082,-0.57179,8.2775,91.567,94.297
93.082,-0.56392,8.2897,91.529,94.267
93.082,-0.55605,8.3019,91.49,94.236
93.082,-0.54818,8.3141,91.45,94.205
93.082,-0.54031,8.3262,91.409,94.175
93.082,-0.53243,8.3383,91.367,94.144
93.082,-0.52456,8.3504,91.324,94.113
93.082,-0.51669,8.3625,91.28,94.082
93.082,-0.50882,8.3746,91.234,94.051
93.082,-0.50095,8.3866,91.188,94.02
93.082,-0.49308,8.3986,91.14,93.989
93.082,-0.48521,8.4106,91.092,93.959
93.082,-0.47734,8.4225,91.042,93.928
93.082,-0.46947,8.4345,90.99,93.897
93.082,-0.4616,8.4464,90.938,93.866
93.082,-0.45373,8.4583,90.884,93.836
93.082,-0.44586,8.4701,90.829,93.805
93.082,-0.43798,8.482,90.772,93.775
93.082,-0.43011,8.4938,90.715,93.745
93.082,-0.42224,8.5056,90.655,93.715
93.082,-0.41437,8.5174,90.594,93.685
93.082,-0.4065,8.5291,90.532,93.656
93.082,-0.39863,8.5409,90.468,93.627
93.082,-0.39076,8.5526,90.403,93.598
93.082,-0.38289,8.5643,90.335,93.57
93.082,-0.37502,8.5759,90.267,93.542
93.082,-0.36715,8.5875,90.196,93.515
93.082,-0.35928,8.5992,90.124,93.488
93.082,-0.3514,8.6108,90.05,93.461
93.082,-0.34353,8.6223,89.974,93.436
93.082,-0.33566,8.6339,89.896,93.411
93.082,-0.32779,8.6454,89.816,93.386
93.082,-0.31992,8.6569,89.735,93.362
93.082,-0.31205,8.6684,89.651,93.34
93.082,-0.30418,8.6798,89.565,93.318
93.082,-0.29631,8.6912,89.477,93.296
93.082,-0.28844,8.7026,89.387,93.276
93.082,-0.28057,8.714,89.295,93.257
93.082,-0.2727,8.7254,89.2,93.238
93.082,-0.26482,8.7367,89.103,93.221
93.082,-0.25695,8.748,89.004,93.204
93.082,-0.24908,8.7593,88.902,93.189
93.082,-0.24121,8.7706,88.798,93.175
93.082,-0.23334,8.7818,88.691,93.162
93.082,-0.22547,8.7931,88.581,93.15
93.082,-0.2176,8.8043,88.469,93.139
93.082,-0.20973,8.8154,88.354,93.129
93.082,-0.20186,8.8266,88.236,93.12
93.082,-0.19399,8.8377,88.115,93.113
93.082,-0.18612,8.8488,87.991,93.106
93.082,-0.17824,8.8599,87.864,93.101
93.082,-0.17037,8.871,87.734,93.096
93.082,-0.1625,8.882,87.601,93.092
93.082,-0.15463,8.893,87.464,93.089
93.082,-0.14676,8.904,87.324,93.087
93.082,-0.13889,8.915,87.181,93.085
93.082,-0.13102,8.9259,87.034,93.084
93.082,-0.12315,8.9369,86.883,93.083
93.082,-0.11528,8.9477,86.729,93.083
93.082,-0.10741,8.9586,86.57,93.082
93.082,-0.099535,8.9695,86.408,93.082
93.082,-0.091665,8.9803,86.242,93.082
93.082,-0.083794,8.9911,86.072,93.082
93.082,-0.075923,9.0019,85.897,93.082
93.082,-0.068052,9.0127,85.719,93.082
93.082,-0.060181,9.0234,85.536,93.082
93.203,-0.8394,7.9061,92.549,95.342
93.203,-0.83153,7.919,92.533,95.319
93.203,-0.82366,7.9318,92.516,95.296
93.203,-0.81579,7.9446,92.499,95.273
93.203,-0.80792,7.9574,92.481,95.249
93.203,-0.80005,7.9701,92.462,95.225
93.203,-0.79217,7.9828,92.444,95.201
93.203,-0.7843,7.9955,92.425,95.177
93.203,-0.77643,8.0082,92.405,95.152
93.203,-0.76856,8.0209,92.385,95.127
93.203,-0.76069,8.0335,92.364,95.102
93.203,-0.75282,8.0461,92.343,95.076
93.203,-0.74495,8.0587,92.321,95.05
93.203,-0.73708,8.0713,92.299,95.024
93.203,-0.72921,8.0838,92.276,94.998
93.203,-0.72134,8.0964,92.253,94.972
93.203,-0.71347,8.1089,92.229,94.945
93.203,-0.70559,8.1213,92.204,94.918
93.203,-0.69772,8.1338,92.179,94.891
93.203,-0.68985,8.1462,92.153,94.863
93.203,-0.68198,8.1586,92.127,94.836
93.203,-0.67411,8.171,92.099,94.808
93.203,-0.66624,8.1834,92.072,94.779
93.203,-0.65837,8.1957,92.043,94.751
93.203,-0.6505,8.208,92.014,94.722
93.203,-0.64263,8.2203,91.984,94.694
93.203,-0.63476,8.2326,91.953,94.664
93.203,-0.62689,8.2448,91.922,94.635
93.203,-0.61901,8.2571,91.89,94.606
93.203,-0.61114,8.2693,91.857,94.576
93.203,-0.60327,8.2814,91.823,94.546
93.203,-0.5954,8.2936,91.788,94.516
93.203,-0.58753,8.3057,91.752,94.486
93.203,-0.57966,8.3178,91.716,94.456
93.203,-0.57179,8.3299,91.679,94.425
93.203,-0.56392,8.342,91.64,94.395
93.203,-0.55605,8.354,91.601,94.364
93.203,-0.54818,8.366,91.561,94.333
93.203,-0.54031,8.378,91.519,94.302
93.203,-0.53243,8.39,91.477,94.271
93.203,-0.52456,8.4019,91.434,94.24
93.203,-0.51669,8.4138,91.389,94.209
93.203,-0.50882,8.4257,91.344,94.178
93.203,-0.50095,8.4376,91.297,94.147
93.203,-0.49308,8.4495,91.249,94.116
93.203,-0.48521,8.4613,91.2,94.085
