mu,sigma,xi
105.6221825,12.1814952,-1.125240006
107.712578,14.88368469,-1.335205554
105.5015324,13.95527488,-1.099562235
107.7169907,12.76214233,-1.15714611
109.200787,15.30920189,-1.573461468
106.2590755,13.0096679,-2.716059716
106.096885,12.88290725,-1.32606462
112.2335437,16.53757471,-1.931810974
107.2989735,13.20510532,-4.261700657
106.3352138,12.17686129,-1.046792861
107.1638415,13.37860857,-2.613255146
111.6962661,15.69149114,-1.753579361
105.7177431,13.43043766,-1.334598466
106.3557659,14.02349591,-1.624789088
106.3427291,13.80070771,-1.205922259
107.0812224,11.93211811,-1.368037133
106.5883194,13.71955428,-1.316554792
105.9313144,11.90699004,-1.2399826
109.2980284,15.63022561,-1.888572
106.9222545,14.41323416,-2.295218805
107.663169,15.2255163,-1.604364413
106.5097566,13.76328564,-1.426717091
104.622124,12.90464955,-1.809734263
107.7755446,14.62967646,-3.134881823
111.2370169,8.933626594,-1.221968578
109.9488113,13.17214572,-1.944618867
106.6422161,14.43042962,-1.447015892
107.2722953,12.26655612,-3.463512808
111.0540146,14.17697392,-1.658077076
107.2501694,13.83751706,-4.089790557
111.9168981,16.035194,-3.255796199
112.2063289,16.68277704,-2.022596466
104.3951122,12.71168272,-1.127152908
105.7980559,13.25519604,-1.320123997
104.5226591,12.12868168,-1.57207513
112.2187804,15.0451935,-1.861247892
106.730371,14.38066224,-2.738600211
104.2660762,11.44933274,-2.058516508
106.0688602,12.87974515,-2.076139859
110.2272635,15.83912087,-1.97000692
104.8304823,11.7667744,-2.525413991
107.4870593,15.18019522,-2.715650834
104.8188157,12.77787863,-3.661878995
108.4205613,14.63256295,-1.663269714
106.7302306,13.61875258,-1.132809102
106.6153171,14.24742324,-1.162441106
104.1861564,12.16461873,-3.423524142
103.9900009,12.26671547,-1.671671362
107.7777447,15.00695234,-1.60609048
113.2900704,17.13465686,-2.104620998
104.8659894,11.2827317,-2.400933962
104.858902,12.83038214,-3.815890985
107.4875472,14.51118822,-1.292811695
105.0554703,12.48039804,-2.543504366
106.8210715,12.88812817,-3.08390549
115.8216877,20.30034316,-2.583407489
103.7509703,11.85207244,-1.812063844
107.5216013,13.70939344,-1.538770841
109.9365638,15.69305449,-1.605496361
107.1193049,13.71964914,-1.211917199
108.3701896,14.84181679,-1.346179503
108.8553518,15.5892558,-2.759724044
106.9411552,15.06802951,-1.514836663
108.8044685,14.49864272,-1.70552329
106.1435256,13.27186235,-1.323602137
109.511071,14.4582742,-3.431584537
105.3424297,12.50780072,-3.035929226
106.9806938,14.13682019,-1.227500853
105.9150217,13.79079061,-1.120123516
105.8154776,12.07287484,-2.553675699
106.7929845,12.67261111,-1.076614552
110.160948,15.69583856,-1.705773393
111.3732409,15.80642337,-1.78428658
104.3492145,13.0613932,-1.287369357
110.1026471,12.51750395,-1.375285348
105.7501609,13.98550721,-1.082958603
106.2351824,14.06591907,-1.161876885
106.8428826,11.11237349,-1.945571886
107.0074509,14.91386686,-3.042595856
108.0298645,14.53995301,-2.551261589
108.8822473,14.79346457,-1.443558852
105.2974821,13.0327123,-2.750228092
108.629807,15.26418038,-1.509000728
105.9138054,13.464106,-1.062471013
104.4505312,12.30242517,-1.140151054
105.0990432,13.16457175,-4.369970159
106.6801929,14.34563298,-1.214292882
108.6173673,13.43905494,-1.332752624
106.8742804,12.28173423,-1.523145317
108.2531551,15.27215943,-1.582029722
106.5894188,11.66323146,-1.927902452
106.583623,15.21640869,-1.405451495
103.3349943,12.56071641,-2.238987658
109.3269281,17.65513873,-2.136883949
105.3788271,12.79773326,-1.248851504
106.3206343,13.70195707,-2.150265686
103.3733292,12.84668318,-2.786226748
109.3288086,13.97675314,-1.795123752
109.467064,15.1317614,-1.960367725
111.4453913,16.93519173,-1.780844719
110.5953401,13.62076584,-1.504149398
